VE_REF FT_REF VE_FLT LE_MET_level6 LE_GEAR SI_LATI SI_LONG SI_SP SI_HE SI_STATE SI_DATE SI_TIME SI_HARB LE_KG_COD LE_KG_CSH LE_KG_DAB LE_KG_ELE LE_KG_FLE LE_KG_HAD LE_KG_HER LE_KG_HKE LE_KG_HOM LE_KG_LEM LE_KG_MAC LE_KG_MON LE_KG_MUS LE_KG_NEP LE_KG_NOP LE_KG_OYF LE_KG_PLE LE_KG_POK LE_KG_PRA LE_KG_SAN LE_KG_SOL LE_KG_SPR LE_KG_TUR LE_KG_WHB LE_KG_WHG LE_KG_WIT LE_EFF_VMS KW_HOURS flag land_harb pt_graph
DNK000000569 4047109 fleet1 SDN_DEF_90-119_0_0 SDN 57.789 9.429 0 251 1 24/01/2012 05:16 NA 0 0 7.91428571428571 0 3.08571428571429 4 0 0 0 2.54285714285714 0 0 0 0 0 0 32 0 0 0 0.0714285714285714 0 0.542857142857143 0 0.0428571428571429 5.58571428571429 60 129 3 Hirtshals 7837
DNK000000569 4047109 fleet1 SDN_DEF_90-119_0_0 SDN 57.809 9.422 2.4 170 1 24/01/2012 07:16 NA 0 0 7.91428571428571 0 3.08571428571429 4 0 0 0 2.54285714285714 0 0 0 0 0 0 32 0 0 0 0.0714285714285714 0 0.542857142857143 0 0.0428571428571429 5.58571428571429 60 129 3 Hirtshals 7837
DNK000000569 4047109 fleet1 SDN_DEF_90-119_0_0 SDN 57.79 9.429 0.2 10 1 24/01/2012 08:16 NA 0 0 7.91428571428571 0 3.08571428571429 4 0 0 0 2.54285714285714 0 0 0 0 0 0 32 0 0 0 0.0714285714285714 0 0.542857142857143 0 0.0428571428571429 5.58571428571429 60 129 3 Hirtshals 7837
DNK000000569 4047109 fleet1 SDN_DEF_90-119_0_0 SDN 57.787 9.445 2 284 1 24/01/2012 10:16 NA 0 0 7.91428571428571 0 3.08571428571429 4 0 0 0 2.54285714285714 0 0 0 0 0 0 32 0 0 0 0.0714285714285714 0 0.542857142857143 0 0.0428571428571429 5.58571428571429 60 129 3 Hirtshals 7764
DNK000000569 4047109 fleet1 SDN_DEF_90-119_0_0 SDN 57.777 9.394 7.8 249 1 24/01/2012 12:16 NA 0 0 7.91428571428571 0 3.08571428571429 4 0 0 0 2.54285714285714 0 0 0 0 0 0 32 0 0 0 0.0714285714285714 0 0.542857142857143 0 0.0428571428571429 5.58571428571429 60 129 3 Hirtshals 7763
DNK000000569 4047109 fleet1 SDN_DEF_90-119_0_0 SDN 57.778 9.349 2.2 216 1 24/01/2012 13:16 NA 0 0 7.91428571428571 0 3.08571428571429 4 0 0 0 2.54285714285714 0 0 0 0 0 0 32 0 0 0 0.0714285714285714 0 0.542857142857143 0 0.0428571428571429 5.58571428571429 60 129 3 Hirtshals 7763
DNK000000569 4047109 fleet1 SDN_DEF_90-119_0_0 SDN 57.761 9.371 8.4 122 1 24/01/2012 15:16 NA 0 0 7.91428571428571 0 3.08571428571429 4 0 0 0 2.54285714285714 0 0 0 0 0 0 32 0 0 0 0.0714285714285714 0 0.542857142857143 0 0.0428571428571429 5.58571428571429 60 129 3 Hirtshals 7763
DNK000000569 4047110 fleet1 SDN_DEF_90-119_0_0 SDN 57.697 9.405 3.2 104 1 25/01/2012 07:16 NA 0 0 27.175 0 0 0.2 0 0 0 4.45 0 0 0 0 0 0 5.375 0 0 0 0 0 0.125 0 0.075 0.15 60 129 3 NA34 7619
DNK000000569 4047110 fleet1 SDN_DEF_90-119_0_0 SDN 57.689 9.421 0.4 132 1 25/01/2012 08:16 NA 0 0 27.175 0 0 0.2 0 0 0 4.45 0 0 0 0 0 0 5.375 0 0 0 0 0 0.125 0 0.075 0.15 60 129 3 NA34 7619
DNK000000569 4047110 fleet1 SDN_DEF_90-119_0_0 SDN 57.683 9.375 7.6 229 1 25/01/2012 09:16 NA 0 0 27.175 0 0 0.2 0 0 0 4.45 0 0 0 0 0 0 5.375 0 0 0 0 0 0.125 0 0.075 0.15 60 129 3 NA34 7547
DNK000000569 4047110 fleet1 SDN_DEF_90-119_0_0 SDN 57.686 9.415 1.6 194 1 25/01/2012 10:16 NA 0 0 27.175 0 0 0.2 0 0 0 4.45 0 0 0 0 0 0 5.375 0 0 0 0 0 0.125 0 0.075 0.15 60 129 3 NA34 7619
DNK000000569 4047111 fleet1 SDN_DEF_90-119_0_0 SDN 57.835 10.879 3 186 1 02/02/2012 07:26 NA 0 0 2.56666666666667 0 3.66666666666667 1.7 0 0 0 0.866666666666667 0 0 0 0 0 0 8.73333333333333 0 0 0 0.166666666666667 0 0 0 0 1.36666666666667 60 129 3 NA34 8180
DNK000000569 4047111 fleet1 SDN_DEF_90-119_0_0 SDN 57.828 10.813 9.4 14 1 02/02/2012 09:26 NA 0 0 2.56666666666667 0 3.66666666666667 1.7 0 0 0 0.866666666666667 0 0 0 0 0 0 8.73333333333333 0 0 0 0.166666666666667 0 0 0 0 1.36666666666667 60 129 3 NA34 8122
DNK000000569 4047111 fleet1 SDN_DEF_90-119_0_0 SDN 57.793 10.736 0.4 56 1 02/02/2012 13:26 NA 0 0 2.56666666666667 0 3.66666666666667 1.7 0 0 0 0.866666666666667 0 0 0 0 0 0 8.73333333333333 0 0 0 0.166666666666667 0 0 0 0 1.36666666666667 60 129 3 NA34 7999
DNK000000569 4047112 fleet1 SDN_DEF_90-119_0_0 SDN 57.769 10.633 0.8 182 1 05/03/2012 07:02 NA 0 0 10.86 0 1.5 0 0 0 0 0.4 0 0 0 0 0 0 39.88 0 0 0 0.16 0 0 0 0.1 0.4 60 129 3 Hirtshals 7927
DNK000000569 4047112 fleet1 SDN_DEF_90-119_0_0 SDN 57.733 10.231 4 73 1 05/03/2012 11:02 NA 0 0 10.86 0 1.5 0 0 0 0 0.4 0 0 0 0 0 0 39.88 0 0 0 0.16 0 0 0 0.1 0.4 60 129 3 Hirtshals 7849
DNK000000569 4047112 fleet1 SDN_DEF_90-119_0_0 SDN 57.741 10.258 9.2 30 1 05/03/2012 13:02 NA 0 0 10.86 0 1.5 0 0 0 0 0.4 0 0 0 0 0 0 39.88 0 0 0 0.16 0 0 0 0.1 0.4 60 129 3 Hirtshals 7849
DNK000000569 4047112 fleet1 SDN_DEF_90-119_0_0 SDN 57.733 10.253 0.2 36 1 05/03/2012 14:02 NA 0 0 10.86 0 1.5 0 0 0 0 0.4 0 0 0 0 0 0 39.88 0 0 0 0.16 0 0 0 0.1 0.4 60 129 3 Hirtshals 7849
DNK000000569 4047112 fleet1 SDN_DEF_90-119_0_0 SDN 57.734 10.2 1 40 1 05/03/2012 17:04 NA 0 0 10.86 0 1.5 0 0 0 0 0.4 0 0 0 0 0 0 39.88 0 0 0 0.16 0 0 0 0.1 0.4 60 129 3 Hirtshals 7848
DNK000000569 4047112 fleet1 SDN_DEF_90-119_0_0 SDN 57.651 9.74 7.2 289 1 06/03/2012 03:04 NA 13.5142857142857 0 0.385714285714286 0 0 1.72857142857143 0 0 0 2 0 0.0428571428571429 0 0 0 0 87.7285714285714 0 0 0 0.285714285714286 0 0.771428571428571 0 1 0.328571428571429 600 1290 3 Hirtshals 7553
DNK000000569 4047112 fleet1 SDN_DEF_90-119_0_0 SDN 57.776 9.31 3.2 248 1 06/03/2012 06:04 NA 13.5142857142857 0 0.385714285714286 0 0 1.72857142857143 0 0 0 2 0 0.0428571428571429 0 0 0 0 87.7285714285714 0 0 0 0.285714285714286 0 0.771428571428571 0 1 0.328571428571429 60 129 3 Hirtshals 7762
DNK000000569 4047112 fleet1 SDN_DEF_90-119_0_0 SDN 57.761 9.3 3 290 1 06/03/2012 07:04 NA 13.5142857142857 0 0.385714285714286 0 0 1.72857142857143 0 0 0 2 0 0.0428571428571429 0 0 0 0 87.7285714285714 0 0 0 0.285714285714286 0 0.771428571428571 0 1 0.328571428571429 60 129 3 Hirtshals 7762
DNK000000569 4047112 fleet1 SDN_DEF_90-119_0_0 SDN 57.751 9.339 3.4 282 1 06/03/2012 09:04 NA 13.5142857142857 0 0.385714285714286 0 0 1.72857142857143 0 0 0 2 0 0.0428571428571429 0 0 0 0 87.7285714285714 0 0 0 0.285714285714286 0 0.771428571428571 0 1 0.328571428571429 60 129 3 Hirtshals 7690
DNK000000569 4047112 fleet1 SDN_DEF_90-119_0_0 SDN 57.761 9.301 0.6 260 1 06/03/2012 10:04 NA 13.5142857142857 0 0.385714285714286 0 0 1.72857142857143 0 0 0 2 0 0.0428571428571429 0 0 0 0 87.7285714285714 0 0 0 0.285714285714286 0 0.771428571428571 0 1 0.328571428571429 60 129 3 Hirtshals 7762
DNK000000569 4047112 fleet1 SDN_DEF_90-119_0_0 SDN 57.775 9.287 7.4 251 1 06/03/2012 12:04 NA 13.5142857142857 0 0.385714285714286 0 0 1.72857142857143 0 0 0 2 0 0.0428571428571429 0 0 0 0 87.7285714285714 0 0 0 0.285714285714286 0 0.771428571428571 0 1 0.328571428571429 60 129 3 Hirtshals 7762
DNK000000569 4047112 fleet1 SDN_DEF_90-119_0_0 SDN 57.75 9.265 0.4 77 1 06/03/2012 13:04 NA 13.5142857142857 0 0.385714285714286 0 0 1.72857142857143 0 0 0 2 0 0.0428571428571429 0 0 0 0 87.7285714285714 0 0 0 0.285714285714286 0 0.771428571428571 0 1 0.328571428571429 60 129 3 Hirtshals 7689
DNK000000569 4047114 fleet1 SDN_DEF_90-119_0_0 SDN 57.659 10.079 3 122 1 07/03/2012 06:04 NA 0 0 33.3333333333333 0 0 0 0 0 0 0 0 0 0 0 0 0 16.6666666666667 0 0 0 0 0 0 0 0 0 60 129 3 Hirtshals 7629
